FRAME_COUNT,ACCURACY
1,0.9940764
2,0.99401075
3,0.98583096
4,0.9953832
5,0.9921389
6,0.9939918
7,0.992311
8,0.98199666
9,0.99727064
10,0.99195224
11,0.9771692
12,0.95701844
13,0.993826
14,0.9949039
15,0.995749
16,0.96820325
17,0.9723079
18,0.9578652
19,0.99088645
20,0.9870725
21,0.9697646
22,0.96860504
23,0.98754555
24,0.9675926
25,0.99540436
26,0.9777991
27,0.9822907
28,0.9904835
29,0.99262285
30,0.960193
31,0.97839886
32,0.9936724
33,0.9786347
34,0.974287
35,0.87621117
36,0.96499324
37,0.98347986
38,0.97033316
39,0.97762364
40,0.9646542
41,0.95838064
42,0.9928155
43,0.9944062
44,0.99734014
45,0.99330974
46,0.99431133
47,0.9844125
48,0.99582493
49,0.9853618
50,0.9792138
51,0.9970216
52,0.99288416
53,0.99720556
54,0.99197257
55,0.9884751
56,0.99900395
57,0.9965857
58,0.99903095
59,0.99859256
60,0.9981237
61,0.993008
62,0.9590852
63,0.98058814
64,0.978286
65,0.9900092
66,0.9943336
67,0.9791493
68,0.9924563
69,0.9458425
70,0.9949562
71,0.9920791
72,0.9927604
73,0.9933282
74,0.96771586
75,0.9922873
76,0.9890932
77,0.9872176
78,0.9868547
79,0.9872477
80,0.99298084
81,0.9931288
82,0.9950264
83,0.9892595
84,0.97836155
85,0.97457075
86,0.98825395
87,0.97897995
88,0.99546826
89,0.944515
90,0.98389924
91,0.9919166
92,0.99046516
93,0.9783821
94,0.9915667
95,0.9943499
96,0.984908
97,0.98817235
98,0.9839335
99,0.95987856
100,0.99420124
101,0.8595529
102,0.9830095
103,0.9785711
104,0.9616379
105,0.9906386
106,0.9954993
107,0.99164504
108,0.9759616
109,0.9612262
110,0.99055743
111,0.9858293
112,0.9902498
113,0.9675854
114,0.98291
115,0.98657054
116,0.99547535
117,0.9797901
118,0.9894617
119,0.99118257
120,0.97646844
121,0.97955084
122,0.98867047
123,0.98585796
124,0.9583029
125,0.9868286
126,0.9973767
127,0.946164
128,0.99387497
129,0.9454011
130,0.96810293
131,0.9944003
132,0.9840185
133,0.9891963
134,0.98898613
135,0.95727265
136,0.9661103
137,0.99052376
138,0.99538535
139,0.9910116
140,0.9723557
141,0.9949345
142,0.89925176
143,0.98464257
144,0.9960134
145,0.9801189
146,0.9861436
